country,viral_claimed_rate,source_label
India,7.70,MoSPI FY26 Estimate
Malaysia,5.40,Media Reports
Indonesia,5.30,Media Reports
China,4.90,Media Reports
Thailand,2.30,Media Reports
United States,2.30,Media Reports
Brazil,2.00,Media Reports
South Korea,1.90,Media Reports
OECD Area,1.80,Media Reports
G7,1.60,Media Reports
EU,1.50,Media Reports
Euro Area,1.30,Media Reports
South Africa,1.30,Media Reports
United Kingdom,1.20,Media Reports
Canada,1.20,Media Reports
France,1.10,Media Reports
Mexico,0.80,Media Reports
Japan,0.80,Media Reports
Italy,0.70,Media Reports
